1,2,3,4
Global,33 300 000,[31 400 000 - 35 300 000],28 600 000
Angola,200 000,[160 000 - 250 000],140 000
Benin,60 000,[52 000 - 69 000],50 000
Botswana,320 000,[300 000 - 350 000],270 000
Burkina Faso,110 000,[91 000 - 140 000],140 000
Burundi,180 000,[160 000 - 190 000],170 000
Cameroon,610 000,[540 000 - 670 000],480 000
Central African Republic,130 000,[110 000 - 140 000],180 000
Chad,210 000,[170 000 - 300 000],140 000
Comoros,<500,[<200 - <500],<100
Congo,77 000,[68 000 - 87 000],69 000
Cote dIvoire,450 000,[390 000 - 510 000],630 000
Democratic Republic of the Congo,...,[430 000 - 560 000],...
Equatorial Guinea,20 000,[14 000 - 26 000],5700
Eritrea,25 000,[18 000 - 33 000],26 000
Ethiopia,...,...,...
Gabon,46 000,[37 000 - 55 000],36 000
Gambia,18 000,[12 000 - 26 000],4300
Ghana,260 000,[230 000 - 300 000],250 000
